filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O3_cksum,2809,15455,19897,0,0,0,2607,2607
gcc_coreutils8.31_O3_md5sum,3335,19195,31467,0,0,0,3603,3603
gcc_coreutils8.31_O3_sha256sum,3604,21068,55507,0,0,0,3744,3744
gcc_coreutils8.31_O1_split,1912,11565,19324,0,0,0,3348,3348
gcc_coreutils8.31_O1_sha256sum,1562,9297,28218,0,0,0,2362,2362
gcc_coreutils8.31_O2_who,2074,13067,21274,0,0,0,3167,3167
gcc_coreutils8.31_O0_touch,3977,21078,41646,0,0,0,5320,5320
gcc_coreutils8.31_O2_uname,1160,7018,10773,0,0,0,1527,1527
gcc_coreutils8.31_O0_df,4123,23065,41862,0,0,0,5694,5694
gcc_coreutils8.31_O1_dir,4107,29856,55292,0,0,0,8772,8772
gcc_coreutils8.31_O1_comm,1352,7600,12681,0,0,0,1948,1948
gcc_coreutils8.31_O1_chmod,2198,13655,25018,0,0,0,3976,3976
gcc_coreutils8.31_O3_dirname,2723,15195,19524,0,0,0,2562,2562
gcc_coreutils8.31_O3_mkfifo,2762,15673,20972,0,0,0,2708,2708
gcc_coreutils8.31_O0_logname,1439,6924,11769,0,0,0,1539,1539
gcc_coreutils8.31_O2_split,2100,13991,20983,0,0,0,3441,3441
gcc_coreutils8.31_O0_ln,3702,19736,34346,0,0,0,4629,4629
gcc_coreutils8.31_O3_pr,4494,29535,48238,0,0,0,6597,6597
gcc_coreutils8.31_O2_rmdir,1689,11083,18380,0,0,0,2669,2669
gcc_coreutils8.31_O3_wc,3419,19352,25988,0,0,0,3606,3606
gcc_coreutils8.31_O2_dd,2998,21143,34856,0,0,0,5282,5282
gcc_coreutils8.31_O2_logname,1194,6943,10577,0,0,0,1442,1442
gcc_coreutils8.31_O2_fold,1307,8215,12583,0,0,0,1797,1797
gcc_coreutils8.31_O0_factor,3135,16471,29160,0,0,0,3845,3845
gcc_coreutils8.31_O2_sha1sum,1741,10894,22433,0,0,0,2428,2428
gcc_coreutils8.31_O1_rm,2369,14912,25737,0,0,0,4375,4375
gcc_coreutils8.31_O2_head,1626,10527,15984,0,0,0,2414,2414
gcc_coreutils8.31_O3_base32,3006,17718,24256,0,0,0,3254,3254
gcc_coreutils8.31_O3_cut,3115,18188,24688,0,0,0,3428,3428
gcc_coreutils8.31_O0_tr,2234,12061,21487,0,0,0,2960,2960
gcc_coreutils8.31_O2_test,1786,13085,24329,0,0,0,3386,3386
gcc_coreutils8.31_O2_tac,4971,36266,59777,0,0,0,9021,9021
gcc_coreutils8.31_O0_yes,1493,7211,12278,0,0,0,1611,1611
gcc_coreutils8.31_O2_truncate,1334,8601,13208,0,0,0,1951,1951
gcc_coreutils8.31_O0_readlink,2128,11727,20062,0,0,0,2649,2649
gcc_coreutils8.31_O1_wc,1620,8837,14844,0,0,0,2340,2340
gcc_coreutils8.31_O3_ptx,9133,62451,101832,0,0,0,15454,15454
gcc_coreutils8.31_O0_mkdir,2213,11001,20341,0,0,0,2667,2667
gcc_coreutils8.31_O1_chcon,2298,13916,23935,0,0,0,4176,4176
gcc_coreutils8.31_O0_sync,1531,7514,13148,0,0,0,1759,1759
gcc_coreutils8.31_O1_paste,1204,6614,11341,0,0,0,1754,1754
gcc_coreutils8.31_O1_pathchk,1101,6035,10319,0,0,0,1556,1556
gcc_coreutils8.31_O3_whoami,2759,14971,19153,0,0,0,2496,2496
gcc_coreutils8.31_O0_fmt,1836,9483,17214,0,0,0,2271,2271
gcc_coreutils8.31_O2_users,1307,7530,11484,0,0,0,1595,1595
gcc_coreutils8.31_O3_ls,6919,51317,89592,0,0,0,12066,12066
gcc_coreutils8.31_O2_sha384sum,1854,11591,22824,0,0,0,2476,2476
gcc_coreutils8.31_O0_join,2254,11885,20478,0,0,0,2907,2907
gcc_coreutils8.31_O0_sha512sum,2449,13856,28394,0,0,0,2629,2629
gcc_coreutils8.31_O3_stat,5517,37212,61836,0,0,0,8787,8787
